date,month,region,category,unit Sold,sales
1/22/2025,January,Europe,Men,2,104.49
8/19/2023,August,Australia,Women,50,4750.75
2/9/2024,February,North America,Accessories,14,687.07
9/16/2023,September,South America,Women,56,1563.62
2/24/2024,February,Asia,Kids,93,5417.52
8/28/2023,August,Africa,Kids,69,3490.02
11/3/2024,November,North America,Women,44,3557.07
10/18/2024,October,Europe,Accessories,46,4331.4
10/1/2023,October,Asia,Accessories,6,511.6
6/8/2024,June,Australia,Men,8,360.11
3/24/2024,March,Australia,Kids,39,1148.57
8/16/2024,August,Europe,Kids,93,8584.27
2/15/2024,February,Europe,Men,44,1968.32
12/24/2023,December,Australia,Women,27,2141.6
6/3/2024,June,South America,Kids,16,1584.92
1/30/2025,January,South America,Women,91,5639.26
11/11/2023,November,Asia,Accessories,39,2074.38
7/17/2023,July,Africa,Footwear,1,72.99
12/22/2023,December,Asia,Men,51,1400.14
11/2/2023,November,Africa,Kids,63,3398.32
10/3/2023,October,Europe,Men,33,1257.62
2/21/2024,February,North America,Accessories,50,1239.03
8/14/2023,August,Asia,Accessories,54,3505.26
2/2/2025,February,Asia,Accessories,27,1668.97
5/17/2025,May,Africa,Accessories,81,6359.17
3/7/2024,March,Europe,Footwear,79,6996.82
8/13/2023,August,Europe,Women,86,2565.71
7/11/2024,July,Africa,Women,19,1523.29
1/31/2024,January,Europe,Footwear,28,1205.81
11/23/2024,November,Australia,Women,23,1531.63
8/1/2024,August,South America,Accessories,64,5537.38
5/1/2025,May,Australia,Women,39,1289.21
11/23/2024,November,North America,Men,49,3140.24
6/25/2024,June,Asia,Women,59,3140.49
4/12/2025,April,North America,Men,20,1623.04
4/10/2025,April,Asia,Kids,61,4437.85
7/15/2024,July,South America,Men,9,713.4
5/18/2025,May,Europe,Men,23,826.04
12/11/2024,December,Australia,Accessories,7,513.74
2/25/2025,February,Africa,Accessories,31,2000.2
9/5/2024,September,Australia,Accessories,60,3066.07
7/10/2023,July,South America,Men,61,2687.11
11/29/2024,November,North America,Footwear,75,2988.3
8/1/2024,August,Africa,Accessories,81,880.53
4/9/2024,April,Europe,Accessories,26,656.77
2/24/2024,February,South America,Men,82,1255.26
11/16/2023,November,Africa,Kids,54,4663.02
4/5/2024,April,South America,Kids,31,2709.65
3/17/2024,March,South America,Women,99,8529.58
11/13/2024,November,Europe,Kids,41,3428.12
4/9/2025,April,Asia,Accessories,28,837.75
2/6/2024,February,Africa,Footwear,90,4883.47
6/11/2024,June,Europe,Women,6,550.24
8/13/2023,August,South America,Footwear,34,2664.93
12/4/2024,December,Europe,Footwear,92,935.07
11/7/2024,November,Asia,Accessories,9,462.14
1/15/2024,January,Australia,Men,93,1019.31
3/30/2024,March,Africa,Men,98,3455.43
12/23/2024,December,Asia,Men,12,590.62
1/8/2024,January,North America,Kids,16,1445.77
5/3/2025,May,Africa,Men,71,4891.52
11/19/2023,November,Asia,Accessories,31,1321.33
7/31/2024,July,South America,Kids,33,1787.25
1/8/2024,January,Africa,Men,7,584.96
10/24/2024,October,Africa,Footwear,3,110.91
5/26/2024,May,Europe,Accessories,20,1307.06
4/8/2025,April,South America,Accessories,5,168.01
12/16/2024,December,North America,Women,67,3564.18
9/22/2023,September,Australia,Accessories,38,464.33
7/17/2024,July,Asia,Footwear,79,6849.68
7/27/2024,July,Europe,Accessories,99,1420.79
5/15/2025,May,Asia,Women,56,1690.78
2/27/2025,February,North America,Accessories,23,920.37
9/22/2023,September,North America,Accessories,97,6427.66
2/26/2025,February,Africa,Women,2,149.61
9/1/2023,September,North America,Accessories,21,362.05
7/3/2023,July,Asia,Kids,78,1085.13
8/28/2024,August,South America,Accessories,14,1146.73
7/15/2024,July,South America,Men,62,4593.89
8/19/2024,August,Africa,Men,11,933.23
11/24/2024,November,Australia,Kids,4,283.55
8/19/2024,August,Asia,Accessories,47,3646.78
5/15/2024,May,Asia,Footwear,94,4146.66
8/1/2023,August,North America,Accessories,20,1262.33
6/1/2024,June,Asia,Men,52,4289.24
6/14/2024,June,Europe,Women,16,407.85
1/20/2024,January,Australia,Kids,98,4709.3
8/9/2023,August,North America,Women,45,3448.98
9/20/2023,September,Europe,Footwear,8,463.5
3/4/2024,March,Africa,Accessories,62,4423.65
9/14/2023,September,South America,Footwear,84,3054.09
9/11/2024,September,Africa,Women,21,271.13
9/13/2024,September,South America,Accessories,64,807.88
4/8/2025,April,Africa,Footwear,30,2845.51
1/13/2024,January,Asia,Men,36,3420.31
4/11/2025,April,Europe,Men,5,145.08
12/9/2024,December,South America,Kids,85,1978.11
12/11/2023,December,North America,Men,38,442.04
6/29/2023,June,Europe,Men,87,2680.74
11/19/2024,November,North America,Women,19,761.74
5/29/2024,May,Europe,Men,74,2346.68
6/26/2024,June,Europe,Men,27,2207.64
6/24/2023,June,Africa,Women,99,7667.43
1/14/2024,January,South America,Men,13,224.79
7/12/2024,July,South America,Men,9,654.83
10/29/2024,October,Europe,Kids,17,966.5
3/30/2024,March,Asia,Men,95,2080.02
6/18/2023,June,Asia,Men,44,3368.56
9/2/2023,September,North America,Kids,45,798.48
11/27/2023,November,North America,Women,88,2283.03
12/23/2023,December,Africa,Men,42,984.08
10/15/2024,October,Europe,Footwear,51,4820.16
11/20/2024,November,North America,Women,83,6045.23
11/5/2024,November,North America,Women,58,2726.91
10/26/2024,October,Australia,Men,58,4871.91
6/12/2024,June,Europe,Kids,30,883.09
7/15/2023,July,Africa,Women,5,468.99
6/29/2023,June,North America,Kids,8,581.84
9/1/2023,September,Africa,Footwear,37,2233.4
4/18/2024,April,South America,Kids,47,3831.36
11/20/2023,November,Africa,Accessories,89,6054.7
4/2/2025,April,Asia,Kids,45,4042.79
11/30/2023,November,Asia,Women,5,423.12
12/3/2023,December,Africa,Kids,97,2697.06
2/24/2024,February,Asia,Kids,63,1988.89
10/11/2024,October,South America,Accessories,86,1363.85
10/4/2024,October,Europe,Accessories,47,1401.44
1/12/2024,January,Asia,Men,25,1022.85
6/10/2024,June,Asia,Women,50,629.72
5/15/2024,May,Africa,Men,93,3566.24
3/10/2024,March,South America,Accessories,45,3574.76
6/8/2025,June,Europe,Kids,30,2568.88
1/24/2024,January,Africa,Accessories,48,518.33
11/26/2023,November,Africa,Footwear,51,542.8
11/16/2024,November,Australia,Kids,94,2177.76
8/31/2024,August,South America,Men,55,4869.26
7/15/2024,July,Europe,Kids,55,2872.93
4/14/2024,April,South America,Footwear,46,4529.21
4/29/2024,April,Europe,Accessories,31,2785.65
4/28/2025,April,South America,Women,34,3063.79
9/26/2024,September,Africa,Women,92,1983.78
12/15/2023,December,Africa,Women,74,3905.03
2/28/2024,February,North America,Accessories,68,6760.77
2/3/2024,February,Asia,Women,33,772.66
5/31/2025,May,Australia,Footwear,56,3454.14
9/11/2023,September,South America,Accessories,58,2377.14
5/14/2024,May,Australia,Women,57,2559.71
11/17/2023,November,North America,Men,17,1532.91
8/17/2024,August,Asia,Accessories,11,692.02
6/5/2025,June,South America,Accessories,71,5558.58
11/10/2023,November,Europe,Kids,81,5717.88
2/27/2025,February,Asia,Women,92,5300.25
4/25/2025,April,Africa,Men,17,1381.32
8/10/2024,August,North America,Footwear,10,973.66
12/12/2023,December,Asia,Accessories,26,2522.36
10/19/2023,October,Asia,Footwear,6,486.3
8/6/2023,August,Africa,Footwear,81,4362.63
4/11/2024,April,South America,Footwear,16,394.95
12/9/2023,December,Europe,Kids,90,1260.21
7/27/2023,July,Africa,Footwear,4,123.32
1/18/2025,January,Europe,Women,62,2518.64
7/17/2024,July,South America,Women,84,1821.66
7/14/2024,July,Asia,Men,64,1934.65
12/25/2024,December,Europe,Men,56,981.07
9/17/2024,September,North America,Footwear,75,4284.82
2/20/2025,February,North America,Footwear,23,491.48
3/1/2025,March,Africa,Kids,33,2536.02
10/19/2024,October,South America,Footwear,31,1238.09
4/19/2024,April,Africa,Footwear,7,493.4
12/20/2024,December,Africa,Footwear,86,7690.7
8/23/2023,August,Australia,Accessories,5,88.71
4/25/2024,April,Africa,Accessories,37,3663.37
3/5/2024,March,Australia,Kids,1,68.07
3/15/2024,March,North America,Kids,70,1036.21
9/9/2023,September,North America,Women,45,1721.71
5/2/2025,May,Africa,Kids,47,4218.82
5/21/2025,May,North America,Women,68,4328.95
9/10/2023,September,South America,Footwear,94,3369.9
5/31/2025,May,Australia,Kids,30,2839.34
9/25/2024,September,Australia,Kids,81,6549.07
2/15/2025,February,Africa,Kids,60,4571.91
9/12/2024,September,North America,Women,24,2159
3/2/2024,March,Europe,Women,31,2457.69
6/20/2024,June,Australia,Men,28,1002.58
6/28/2023,June,Africa,Women,45,2814.74
9/18/2023,September,Africa,Women,4,343.22
7/9/2024,July,South America,Accessories,61,1602.86
6/11/2024,June,Asia,Kids,39,962.21
12/7/2023,December,Asia,Women,83,2017.55
1/26/2024,January,Australia,Kids,24,659.59
10/11/2024,October,South America,Kids,71,1369.64
8/5/2023,August,South America,Accessories,46,3927.78
7/18/2024,July,South America,Kids,53,4433.38
4/2/2024,April,Australia,Women,48,1133.91
8/17/2023,August,Asia,Kids,9,661.49
7/3/2023,July,South America,Men,22,1461.41
3/23/2025,March,North America,Men,2,69.71
11/30/2023,November,Africa,Accessories,91,2772.15
9/22/2023,September,Africa,Women,16,520.84
11/12/2024,November,Europe,Accessories,5,378.78
1/28/2024,January,Europe,Men,12,464.86
10/14/2023,October,Australia,Women,52,1820.85
8/14/2024,August,Australia,Kids,26,312.61
10/22/2024,October,Africa,Women,15,1376.12
7/2/2023,July,North America,Footwear,67,5208.81
4/10/2024,April,Asia,Women,73,3836.19
11/5/2023,November,Asia,Kids,59,5596.94
12/25/2023,December,Australia,Footwear,92,3350.45
8/10/2023,August,North America,Accessories,39,2758.21
8/19/2023,August,Australia,Women,63,2360.2
1/11/2025,January,Asia,Accessories,25,957.79
10/1/2024,October,Australia,Women,41,3526.98
1/8/2025,January,South America,Men,28,2263.3
1/10/2025,January,Australia,Men,21,765.86
2/21/2025,February,Africa,Kids,93,1611.23
10/6/2024,October,Australia,Men,89,3754.25
9/29/2024,September,Africa,Footwear,94,7370.09
5/7/2025,May,North America,Footwear,61,1161.99
10/28/2024,October,Asia,Women,57,4017.88
3/23/2024,March,Europe,Accessories,11,990.87
10/22/2024,October,Europe,Footwear,19,496.48
11/24/2023,November,Asia,Women,75,6569.88
11/24/2023,November,Europe,Accessories,89,1301.42
11/21/2023,November,Australia,Men,1,70.02
10/7/2023,October,North America,Women,32,2598.19
10/5/2023,October,North America,Accessories,85,4252.46
10/23/2023,October,Asia,Kids,77,2181.84
4/27/2025,April,Europe,Kids,34,3169.67
7/20/2024,July,Australia,Footwear,17,200.55
7/4/2024,July,North America,Accessories,55,3297.6
11/13/2024,November,North America,Kids,19,827.57
9/18/2023,September,South America,Footwear,74,3810.64
1/18/2025,January,South America,Women,42,2448.22
12/29/2024,December,North America,Women,59,3429.52
5/13/2024,May,Asia,Accessories,73,2067.81
12/13/2024,December,Africa,Accessories,75,5337.99
11/27/2024,November,Africa,Accessories,38,445.49
10/15/2023,October,Australia,Accessories,31,369.1
2/6/2024,February,North America,Kids,66,3502.21
4/10/2025,April,North America,Kids,88,5171.87
3/9/2025,March,North America,Footwear,69,2397.06
5/14/2025,May,Asia,Kids,50,2982.54
6/3/2024,June,South America,Women,30,1693.49
4/2/2024,April,North America,Footwear,35,1450.04
1/20/2025,January,North America,Kids,59,4050.92
8/17/2023,August,Europe,Accessories,17,1635.64
9/19/2023,September,Asia,Kids,95,5146.36
3/23/2024,March,Australia,Men,66,5329.14
12/18/2024,December,North America,Footwear,80,2582.7
3/27/2025,March,Europe,Kids,21,1650.09
9/11/2023,September,Africa,Kids,94,6429.74
11/28/2024,November,Australia,Women,52,3513.79
2/26/2025,February,North America,Accessories,65,5874.26
11/26/2024,November,North America,Accessories,14,434.02
1/22/2024,January,Europe,Women,16,690.57
9/7/2024,September,Asia,Women,55,961.18
6/6/2024,June,North America,Men,9,678.16
10/7/2024,October,Africa,Footwear,8,687.58
8/20/2023,August,North America,Accessories,73,3396.33
2/7/2024,February,Africa,Women,34,1431.89
10/9/2024,October,Australia,Women,33,2286.2
10/1/2024,October,Australia,Footwear,86,1445.07
6/28/2023,June,South America,Women,94,3425.9
5/10/2025,May,South America,Men,7,300.71
6/6/2024,June,Africa,Footwear,82,4647.2
6/13/2024,June,Asia,Men,21,1110.72
9/15/2024,September,North America,Kids,5,143.91
4/10/2025,April,North America,Accessories,71,4165.63
10/13/2024,October,South America,Women,12,1119.94
11/27/2023,November,Africa,Footwear,59,733.84
7/18/2023,July,North America,Men,81,5769.43
6/16/2024,June,North America,Accessories,58,3840.98
3/31/2024,March,Asia,Accessories,88,8201.46
1/1/2024,January,Europe,Women,37,2519
7/2/2024,July,South America,Accessories,83,5497.58
11/29/2024,November,South America,Women,45,3567.71
3/4/2024,March,Europe,Kids,80,2728.2
10/2/2024,October,North America,Women,25,1590.4
8/9/2023,August,Asia,Men,27,1532.19
2/21/2024,February,Asia,Accessories,51,2522.59
5/18/2024,May,South America,Accessories,42,720.46
3/25/2025,March,Asia,Accessories,71,2579.9
4/27/2025,April,Australia,Women,42,1478.33
6/23/2023,June,Europe,Footwear,60,4510.96
8/29/2024,August,North America,Women,72,6685.85
7/11/2024,July,Australia,Men,79,2430.9
3/17/2024,March,Europe,Women,58,969.54
8/29/2024,August,Africa,Accessories,80,7999.69
11/7/2024,November,South America,Kids,72,5199.01
3/25/2025,March,Asia,Men,96,8619.11
7/27/2024,July,Africa,Kids,81,1858.88
1/25/2024,January,Asia,Men,22,1805.52
3/30/2025,March,Australia,Men,96,7987.12
8/3/2023,August,North America,Accessories,58,1370.77
11/17/2024,November,North America,Women,11,269.79
9/5/2024,September,North America,Accessories,6,219.54
12/3/2024,December,Asia,Accessories,22,649.24
11/5/2024,November,Africa,Accessories,78,7627.38
10/13/2024,October,North America,Kids,92,3925.17
6/19/2024,June,Africa,Men,12,942.21
1/30/2024,January,Asia,Footwear,27,2226.27
12/1/2024,December,Australia,Women,1,44.73
6/25/2024,June,Africa,Accessories,64,4571.69
5/4/2025,May,Australia,Men,74,1457.95
3/19/2024,March,Asia,Women,97,4435.48
7/13/2024,July,Asia,Footwear,80,7764.64
8/28/2023,August,South America,Footwear,39,981.54
7/22/2024,July,Asia,Accessories,60,2682.84
2/28/2025,February,Asia,Footwear,70,5680.29
12/30/2023,December,Europe,Footwear,54,3773.96
3/11/2024,March,North America,Women,25,1670.92
5/21/2024,May,South America,Women,20,1735.86
2/15/2025,February,South America,Accessories,36,454.26
11/8/2024,November,South America,Men,23,1826.31
6/19/2024,June,Europe,Accessories,80,7154.35
6/22/2024,June,Australia,Kids,1,11.46
8/14/2023,August,Asia,Footwear,94,5668.83
9/3/2023,September,North America,Men,27,1117.07
11/28/2024,November,Africa,Women,52,757.57
10/1/2023,October,Australia,Kids,2,95.19
6/18/2023,June,Asia,Kids,21,1427.22
8/13/2023,August,Europe,Footwear,9,834.4
7/22/2023,July,Asia,Women,88,5794.6
5/18/2024,May,Asia,Men,48,4181.13
11/23/2024,November,Europe,Women,39,816.72
8/22/2024,August,South America,Footwear,42,1215.77
1/1/2024,January,South America,Kids,71,6910.17
4/10/2025,April,North America,Footwear,94,8447.41
4/26/2024,April,North America,Accessories,45,1402.67
11/13/2023,November,South America,Kids,2,131.78
9/2/2023,September,Australia,Footwear,76,3240.41
10/13/2023,October,Africa,Men,77,4017.39
12/11/2023,December,Asia,Men,67,5861.1
11/4/2023,November,Africa,Men,43,3277.21
11/29/2024,November,Asia,Accessories,18,566.28
6/14/2023,June,South America,Women,39,1499.14
1/24/2024,January,North America,Men,6,216.44
3/10/2025,March,Australia,Accessories,42,3370.91
6/17/2024,June,North America,Men,52,2813.61
10/5/2024,October,Africa,Accessories,27,2580.26
7/30/2023,July,North America,Men,79,6596.65
9/24/2023,September,South America,Women,15,435.11
7/4/2023,July,Australia,Footwear,19,1533.96
1/31/2024,January,Africa,Men,62,3443.92
11/7/2024,November,Australia,Footwear,64,2101.37
5/26/2024,May,Asia,Men,51,2177.69
12/28/2023,December,North America,Women,47,4582.09
8/21/2024,August,Australia,Footwear,57,3052.72
2/22/2024,February,Europe,Accessories,20,1495.29
5/12/2024,May,North America,Men,20,1058.75
7/8/2024,July,Asia,Men,82,3562.09
12/5/2023,December,Australia,Accessories,64,5227.38
3/1/2025,March,Africa,Women,98,8462.22
5/9/2024,May,Asia,Kids,99,1630.53
3/5/2024,March,Europe,Men,38,1334.1
1/11/2025,January,Australia,Accessories,38,2116.92
12/22/2023,December,South America,Kids,65,2501.51
6/13/2023,June,North America,Men,76,6119.71
2/15/2024,February,Africa,Footwear,5,101.63
12/3/2024,December,South America,Accessories,64,5235.32
8/21/2023,August,Australia,Footwear,27,1771.46
12/10/2023,December,Australia,Women,20,720.86
3/20/2025,March,Asia,Kids,60,2460.06
2/18/2025,February,Australia,Accessories,40,1058.44
8/2/2023,August,Africa,Men,83,2716.72
9/2/2023,September,South America,Men,79,5889.78
4/20/2024,April,Africa,Kids,6,262.98
8/6/2024,August,Europe,Footwear,73,5246.77
10/23/2023,October,Europe,Footwear,36,2025.71
1/16/2024,January,North America,Accessories,87,2007.68
2/16/2024,February,North America,Accessories,74,4063.81
9/6/2023,September,Europe,Footwear,65,5075.35
8/17/2024,August,Australia,Accessories,11,404.7
7/23/2024,July,Africa,Footwear,49,3348.04
4/23/2025,April,Europe,Kids,84,2344.69
7/10/2024,July,North America,Accessories,28,621.96
2/8/2025,February,Europe,Footwear,22,933.25
8/7/2024,August,Australia,Accessories,84,3782.38
1/13/2025,January,Europe,Men,47,3689.07
4/28/2025,April,Africa,Men,80,4112.57
4/15/2024,April,South America,Women,66,1142.54
8/28/2024,August,Australia,Footwear,25,1676.5
12/8/2023,December,North America,Women,91,4753.18
4/17/2024,April,Africa,Footwear,67,2669.81
3/6/2025,March,Europe,Accessories,87,7151.37
9/16/2024,September,Europe,Footwear,32,764.63
11/21/2024,November,South America,Men,17,1567.21
11/3/2024,November,North America,Accessories,40,1602.62
5/16/2025,May,North America,Men,84,4324.72
10/18/2023,October,Asia,Accessories,30,2808.93
3/1/2024,March,North America,Footwear,59,4632.18
12/2/2023,December,South America,Footwear,28,467.24
7/6/2023,July,Asia,Men,47,2916.2
5/23/2024,May,Asia,Kids,23,872.45
12/27/2024,December,Europe,Footwear,83,4628.41
2/24/2024,February,Europe,Kids,57,4381.43
11/20/2023,November,North America,Accessories,89,4864.35
11/21/2023,November,Asia,Kids,88,1442.49
10/17/2023,October,Europe,Men,1,57.7
9/12/2024,September,South America,Women,92,1119.79
4/7/2024,April,Europe,Women,29,1199.35
8/2/2023,August,Australia,Men,50,2651.14
1/22/2024,January,Australia,Women,64,4353.32
2/9/2024,February,Europe,Men,99,5500.3
7/5/2024,July,Asia,Footwear,81,1917.69
7/15/2024,July,Asia,Kids,75,7042.47
3/19/2024,March,Africa,Women,37,2535.5
3/4/2025,March,Australia,Footwear,61,2350.15
8/18/2023,August,South America,Women,7,678.54
7/5/2023,July,Asia,Accessories,90,8048.88
8/16/2024,August,North America,Men,87,1993.53
2/8/2024,February,Australia,Men,64,4415.27
1/1/2025,January,South America,Footwear,18,1087.31
10/21/2023,October,South America,Accessories,29,793.23
9/28/2023,September,Asia,Kids,98,3039.25
2/21/2024,February,South America,Accessories,60,3644.38
5/19/2025,May,Asia,Accessories,54,2101.46
7/2/2024,July,Europe,Kids,72,6129.71
12/18/2024,December,Australia,Kids,21,394.73
1/20/2025,January,Africa,Accessories,21,1937.52
1/14/2024,January,Europe,Women,58,4967.68
7/29/2023,July,Australia,Women,49,3747.33
11/6/2024,November,Asia,Accessories,36,1210.72
8/29/2024,August,Australia,Women,17,1263.89
6/24/2024,June,Asia,Kids,80,3959.14
10/28/2023,October,Europe,Kids,53,3553.03
11/20/2023,November,North America,Women,15,571.95
10/4/2023,October,North America,Kids,79,6732.95
5/18/2024,May,Australia,Men,40,546.07
2/9/2024,February,North America,Kids,81,5850.74
8/17/2024,August,Asia,Accessories,51,4313.42
7/31/2024,July,South America,Footwear,65,4431.6
5/11/2025,May,Asia,Women,13,354.63
3/29/2024,March,South America,Women,38,1354.63
1/21/2025,January,Europe,Kids,74,4169.27
4/4/2024,April,Africa,Kids,97,3846.09
9/29/2024,September,South America,Footwear,26,271.5
9/13/2023,September,North America,Footwear,76,1038.24
1/19/2024,January,Asia,Accessories,83,6565.23
9/26/2023,September,Europe,Men,15,263
6/30/2024,June,North America,Accessories,5,467.61
10/11/2024,October,Europe,Women,2,99.69
7/1/2023,July,Africa,Kids,78,6102.47
3/7/2024,March,Asia,Accessories,93,1980.47
2/17/2024,February,Australia,Kids,65,6070.07
4/19/2024,April,Asia,Kids,77,1004.3
6/18/2024,June,Africa,Accessories,60,827.54
10/29/2023,October,Asia,Accessories,96,1431.62
5/25/2025,May,Australia,Footwear,98,1892.06
9/26/2023,September,South America,Men,56,3013.63
7/19/2023,July,Europe,Footwear,78,6313.7
12/29/2024,December,Australia,Men,38,1354.52
9/25/2024,September,North America,Accessories,57,4395.84
9/18/2023,September,Africa,Men,51,4062.94
3/26/2024,March,South America,Women,41,3761.54
1/8/2025,January,North America,Footwear,79,1851.89
12/30/2023,December,North America,Footwear,70,1553.87
2/27/2025,February,Africa,Footwear,93,1951.94
8/30/2023,August,South America,Kids,83,3514.05
12/9/2023,December,North America,Kids,52,2810.45
3/16/2025,March,North America,Accessories,1,51.54
2/8/2024,February,South America,Accessories,85,2816.42
11/22/2023,November,Asia,Kids,18,1187.61
1/17/2024,January,North America,Footwear,27,1092
8/6/2024,August,Europe,Kids,92,3951.17
10/3/2023,October,South America,Men,72,1403.83
7/4/2023,July,North America,Footwear,95,6013.58
9/26/2023,September,Africa,Kids,76,5242.12
1/13/2025,January,Australia,Accessories,42,3285.05
9/4/2024,September,Europe,Kids,6,548.16
12/6/2023,December,Australia,Women,90,7104.64
8/13/2024,August,Australia,Kids,80,2497.35
1/25/2024,January,North America,Footwear,94,2933.64
5/3/2024,May,Europe,Kids,83,7665.7
12/24/2023,December,Europe,Accessories,82,6651.19
7/31/2023,July,Asia,Men,24,1929.65
6/7/2025,June,Australia,Women,45,3364.84
6/28/2024,June,Europe,Footwear,84,2860.05
9/13/2023,September,Asia,Accessories,71,6124.95
9/12/2024,September,South America,Women,7,160.02
10/23/2023,October,Asia,Kids,16,664.03
3/29/2024,March,Africa,Women,58,2388.6
12/19/2023,December,North America,Men,57,3443.48
4/3/2024,April,South America,Women,42,2171.82
1/20/2024,January,South America,Women,14,719.36
1/28/2024,January,Africa,Kids,56,3350.01
8/23/2024,August,Asia,Kids,12,568.65
8/2/2023,August,North America,Footwear,93,3022.36
4/7/2024,April,Asia,Kids,15,1046.56
9/27/2023,September,Europe,Women,8,649.26
3/10/2024,March,Asia,Men,58,3080.36
4/6/2024,April,South America,Kids,53,3628.03
4/2/2025,April,North America,Footwear,9,523.64
11/23/2023,November,Asia,Footwear,46,704.25
5/12/2025,May,North America,Women,92,4423.14
6/8/2024,June,North America,Kids,91,990.69
3/20/2024,March,Europe,Kids,7,486.98
9/22/2023,September,Europe,Footwear,44,2452.32
3/22/2025,March,South America,Kids,14,299.81
9/26/2023,September,Africa,Women,75,4409.79
1/25/2025,January,North America,Men,96,8722.4
6/12/2024,June,Africa,Women,92,3739.26
11/18/2023,November,South America,Kids,6,590.48
8/13/2024,August,North America,Women,35,3372.05
11/21/2024,November,North America,Accessories,70,5647.45
11/29/2024,November,Australia,Accessories,61,5077.76
3/11/2024,March,Africa,Kids,24,1126.78
6/2/2024,June,Asia,Kids,73,3374.69
12/29/2024,December,Europe,Men,2,191.79
8/5/2024,August,Asia,Women,78,3350.7
9/17/2024,September,Africa,Men,51,954.65
12/18/2024,December,Europe,Kids,31,736.04
1/27/2024,January,Asia,Kids,94,6949.98
2/23/2025,February,Australia,Footwear,27,1200.64
8/22/2023,August,Europe,Men,31,866.17
5/16/2024,May,North America,Kids,70,5826.85
4/3/2024,April,Asia,Accessories,43,2321.17
12/24/2024,December,Europe,Footwear,82,5009.19
12/10/2024,December,Australia,Women,52,1240.48
7/15/2023,July,Europe,Footwear,14,382.87
8/21/2023,August,Europe,Women,59,1258.3
8/17/2024,August,Australia,Accessories,20,1126.18
10/22/2023,October,Asia,Women,52,4150.07
12/19/2023,December,South America,Men,75,5692.93
8/19/2023,August,Asia,Women,40,1340.43
5/10/2024,May,Africa,Women,68,5891.49
5/30/2025,May,Australia,Footwear,44,858.42
3/26/2024,March,Asia,Accessories,6,121.59
3/14/2025,March,Europe,Women,87,7520.05
12/6/2023,December,Australia,Men,57,1823.87
10/27/2024,October,North America,Footwear,58,4276.36
11/18/2024,November,Asia,Accessories,72,778.84
10/6/2024,October,Australia,Accessories,30,552.72
10/26/2023,October,Asia,Kids,52,3371.47
8/21/2023,August,Australia,Men,11,290.59
3/20/2024,March,Europe,Footwear,47,589.34
8/31/2023,August,North America,Footwear,5,260.13
11/8/2023,November,North America,Men,3,119.24
7/17/2024,July,Africa,Accessories,15,1233.05
7/18/2024,July,Australia,Women,2,167.39
4/22/2024,April,Asia,Men,2,130.6
5/26/2024,May,North America,Footwear,72,2618.86
5/11/2025,May,North America,Men,54,2783.51
3/26/2025,March,South America,Accessories,46,3367.34
3/11/2025,March,South America,Kids,94,1526.35
10/16/2024,October,North America,Kids,41,1636.91
5/26/2024,May,Australia,Women,69,5796.92
4/29/2024,April,Africa,Women,30,1396.28
2/6/2025,February,North America,Accessories,44,2913.69
12/10/2024,December,Europe,Women,10,186.7
1/11/2025,January,Asia,Kids,97,7753.61
11/19/2024,November,Africa,Accessories,88,1675.69
4/13/2025,April,Europe,Accessories,83,7265.59
12/26/2024,December,Africa,Accessories,30,587.82
1/12/2025,January,Europe,Men,89,8026.05
10/27/2024,October,Asia,Women,75,3205.45
7/28/2024,July,Asia,Footwear,49,3244.18
6/15/2024,June,South America,Kids,35,3016.63
2/9/2024,February,Australia,Women,65,709.91
11/14/2023,November,Europe,Kids,17,576.51
8/6/2023,August,South America,Women,31,2844.26
5/21/2025,May,Europe,Footwear,70,3145.51
7/25/2024,July,South America,Kids,77,5665.19
8/4/2024,August,Asia,Footwear,52,1175.26
6/8/2025,June,Africa,Kids,26,1847.39
11/16/2023,November,South America,Men,5,82.92
7/24/2024,July,Europe,Men,14,1043.83
1/7/2025,January,Europe,Kids,51,1996.26
3/18/2024,March,Australia,Kids,15,778.89
12/19/2024,December,Asia,Footwear,12,299.56
2/5/2024,February,Europe,Accessories,46,3059.29
1/9/2024,January,North America,Kids,64,2584.39
8/3/2023,August,Africa,Women,72,3204.27
1/17/2025,January,South America,Women,59,4053.14
2/1/2024,February,Australia,Women,95,2479.27
2/21/2024,February,Africa,Men,26,2253.7
3/3/2024,March,Asia,Footwear,29,2219.54
11/8/2023,November,Australia,Men,4,247.98
8/3/2024,August,South America,Women,50,1077.5
2/5/2024,February,South America,Kids,92,6609.27
7/18/2024,July,North America,Women,25,290.72
5/18/2025,May,Asia,Kids,40,3295.82
7/15/2024,July,Australia,Footwear,32,1194.94
10/5/2024,October,Australia,Accessories,75,1541.18
3/17/2024,March,Europe,Kids,37,917.75
1/20/2025,January,North America,Men,10,966.82
1/3/2025,January,North America,Women,38,3026.5
12/19/2024,December,Australia,Women,61,1915.92
9/27/2023,September,Australia,Women,27,2611.22
9/8/2023,September,Africa,Kids,81,1831.46
11/18/2023,November,Africa,Footwear,7,532.12
9/18/2023,September,Africa,Kids,73,5044.78
10/16/2023,October,North America,Men,99,8309.36
12/14/2024,December,Europe,Women,9,399.18
9/18/2023,September,South America,Kids,59,2723.75
9/14/2024,September,Africa,Women,36,2383.6
6/12/2024,June,Europe,Men,30,1375.16
2/7/2024,February,Asia,Accessories,95,1303.55
